"Pesca marítima. Desembarques mensuales totales por puerto. Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 14
,,,,
Período,Total desembarques,Desembarques por puerto,,
,,Ushuaia,Almanza,
,,toneladas,,
,,,,
Diciembre,7318.417000000002,7318.417000000002,0,
2020 (1),49666.60800000001,49666.60800000001,0,
Enero,60.445,60.445,0,
Febrero,4856.057999999999,4856.057999999999,,
Marzo,7787.138000000003,7787.138000000003,0,
Abril,0,0,0,
Mayo,4897.904,4897.904,0,
Junio ,1641.8499999999997,1641.8499999999997,0,
Julio,4607.506,4607.506,0,
Agosto,1560.0460000000007,1560.0460000000007,0,
Septiembre,6874.1680000000015,6874.1680000000015,0,
Octubre,6603.072999999999,6603.072999999999,0,
Noviembre,5625.945000000004,5625.945000000004,0,
Diciembre,5152.475000000002,5152.475000000002,0,
2021 (1),49703.77,49645.07,58.7,
Enero,6392.439,6392.439,0,
Febrero,3062.6659999999974,3062.6659999999974,0,
Marzo,4275.6320000000005,4275.6320000000005,0,0.0
Abril,3803.4669999999983,3803.4669999999983,0,
Mayo,6634.101999999999,6634.101999999999,0,
Junio ,4317.534,4258.834,58.7,
Julio,834.527,834.527,0,
Agosto, -, -,0,
Septiembre,2551.957000000001,2551.957000000001,0,
Octubre, -, -,0,
Noviembre,7262.713,7262.713,0,
Diciembre,10568.733,10568.733,0,
2022 (1),39866.3,39866.3,-,
Enero,5115.3,5115.3,3228.6469999999977,
Febrero,3402.3,3402.3,3228.6469999999977,
Marzo,5258.5,5258.5,3228.6469999999977,
Abril,3228.6,3228.6,3228.6469999999977,
Mayo,881.7,881.7,3228.6469999999977,
Junio ,6077.8,6077.8,3228.6469999999977,
Julio,3434.7,3434.7,3228.6469999999977,
Agosto,1328,1328,3228.6469999999977,
Septiembre,-,-,3228.6469999999977,
Octubre,574.2,574.2,3228.6469999999977,
Noviembre,5519.1,5519.1,3228.6469999999977,
Diciembre,5046,5046,-,
2023 (1),20951.4,20951.4,-,
Enero,2737.4,2737.4,-,
Febrero,536.4,536.4,-,
Marzo,5217.3,5217.3,-,
Abril,188.1,188.1,-,
Mayo,6932.3,6932.3,-,
Junio ,374.1,374.1,-,
julio,4224.7,4224.7,-,
Agosto,741.1,741.1,-,
Septiembre,...,...,-,
Octubre,...,...,-,
,,,,
- Cero absoluto,,,,
... Dato no disponible a la fecha de presentacion de resultados,,,,
(1) cifras sujetas a posibles modificaciones debido a la permanente validación y actualización de las bases de datos,,,,
Nota: Las posibles diferencias entre los subtotales y los totales se deben al redondeo del Sistema General de Pesca (SISGRAL).,,,,
"Fuente: Ministerio de Agricultura, Ganadería y Pesca de la Nación. Subsecretaría de Pesca y Acuicultura (SSPyA)",,,,
